root - INFO - ////////////////////// get_companies_raw_data() //////////////////////
root - INFO -  Pourcentage : 0.0 %  Company :https://www.trustpilot.com/review/egcu.org
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=1
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=2
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=3
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=4
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=5
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=6
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=7
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=8
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=9
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=10
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=11
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=12
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=13
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=14
root - INFO - Processing Company :https://www.trustpilot.com/review/egcu.org?page=15
